"X","RMS.CDW.ID","General.Offense.Number","Offense.Code","Offense.Code.Extension","Offense.Type","Summary.Offense.Code","Summarized.Offense.Description","Date.Reported","Occurred.Date.or.Date.Range.Start","Occurred.Date.Range.End","Hundred.Block.Location","District.Sector","Zone.Beat","Census.Tract.2000","Longitude","Latitude","Location","Month","Year","Neighborhood"
230764,1294965,2017367878,"5707",0,"TRESPASS","5700","TRESPASS","10/03/2017 03:09:00 PM","10/02/2017 12:00:00 AM","","6XX BLOCK OF MALDEN AV E","C","C1","6500.3021",-122.313606262,47.624759674,"(47.624759674, -122.313606262)",10,2017,"Capitol Hill"
230765,1294966,2017367782,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/03/2017 01:35:00 PM","10/03/2017 12:15:00 PM","10/03/2017 01:15:00 PM","9XX BLOCK OF NE RAVENNA BV","U","U1","4500.1000",-122.318069458,47.672176361,"(47.672176361, -122.318069458)",10,2017,"Roosevelt"
230766,1294967,2017365069,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/01/2017 10:48:00 AM","09/30/2017 06:00:00 PM","10/01/2017 09:00:00 AM","XX BLOCK OF E LYNN ST","D","D3","6600.2005",-122.327728271,47.639728546,"(47.639728546, -122.327728271)",10,2017,"Eastlake"
230768,1294969,2017365036,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/01/2017 10:15:00 AM","09/30/2017 09:00:00 PM","10/01/2017 10:15:00 AM","70XX BLOCK OF 6 AV NE","J","J3","3600.2009",-122.321754456,47.679862976,"(47.679862976, -122.321754456)",10,2017,"Green Lake"
230774,1295035,2017370260,"2804",0,"PROPERTY STOLEN-POSSESS","2800","STOLEN PROPERTY","10/05/2017 11:53:00 AM","10/05/2017 11:53:00 AM","","86XX BLOCK OF 46 AV SW","W","W3","11600.5005",-122.391571045,47.525814056,"(47.525814056, -122.391571045)",10,2017,"Fauntleroy"
230775,1295036,2017373378,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/07/2017 02:18:00 PM","10/06/2017 06:00:00 PM","10/07/2017 02:00:00 PM","101XX BLOCK OF MARINE VIEW DR SW","W","W3","12000.3017",-122.390762329,47.51253891,"(47.51253891, -122.390762329)",10,2017,"Arbor Heights"
230776,1295037,2017370973,"2202",0,"BURGLARY-FORCE-RES","2200","BURGLARY","10/05/2017 08:38:00 PM","10/05/2017 11:45:00 AM","","39XX BLOCK OF SW ROSE ST","W","W3","11600.2020",-122.383354187,47.529182434,"(47.529182434, -122.383354187)",10,2017,"Gatewood"
230777,1295038,2017370887,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","10/05/2017 07:33:00 PM","10/04/2017 10:30:00 PM","","2 AV N / ROY ST","Q","Q3","7000.3019",-122.352790833,47.625442505,"(47.625442505, -122.352790833)",10,2017,"Uptown"
230778,1294985,2017371417,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/06/2017 01:18:00 PM","10/05/2017 06:45:00 PM","10/06/2017 07:40:00 AM","86XX BLOCK OF 36 AV SW","W","W3","11500.2009",-122.377830505,47.525390625,"(47.525390625, -122.377830505)",10,2017,"Fauntleroy"
230779,1294986,2017365533,"1313",2,"ASSLT-NONAGG-POLICE","1300","ASSAULT","10/01/2017 07:42:00 PM","10/01/2017 06:50:00 PM","","4 AV / SENECA ST","K","K1","8100.2022",-122.334220886,47.607513428,"(47.607513428, -122.334220886)",10,2017,"Downtown"
230780,1294987,2017908950,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/02/2017 11:22:00 AM","10/01/2017 11:30:00 AM","10/01/2017 02:30:00 PM","2XX BLOCK OF 2 AV N","Q","Q3","7100.2001",-122.352828979,47.620342255,"(47.620342255, -122.352828979)",10,2017,"Uptown"
230783,1295105,2017373683,"2303",0,"THEFT-SHOPLIFT","2300","SHOPLIFTING","10/07/2017 10:24:00 PM","10/07/2017 07:45:00 PM","","28XX BLOCK OF SW BARTON ST","F","F2","11402.1022",-122.369346619,47.521038055,"(47.521038055, -122.369346619)",10,2017,"Roxhill"
230784,1295106,2017373781,"5707",0,"TRESPASS","5700","TRESPASS","10/07/2017 08:59:00 PM","10/07/2017 08:59:00 PM","","14XX BLOCK OF BROADWAY","E","E2","8400.1008",-122.320770264,47.613517761,"(47.613517761, -122.320770264)",10,2017,"First Hill"
230785,1295107,2017373826,"1313",0,"ASSLT-NONAGG","1300","ASSAULT","10/07/2017 09:34:00 PM","10/07/2017 09:34:00 PM","","39XX BLOCK OF S OTHELLO ST","S","S1","11001.2008",-122.282348633,47.537044525,"(47.537044525, -122.282348633)",10,2017,"Holly Park"
230787,1295013,2017372265,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/06/2017 07:57:00 PM","10/05/2017 10:00:00 PM","10/06/2017 05:00:00 PM","90XX BLOCK OF 18 AV SW","F","F2","11402.2002",-122.357803345,47.521949768,"(47.521949768, -122.357803345)",10,2017,"South Delridge"
230788,1295014,2017371321,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/06/2017 08:13:00 AM","10/05/2017 06:00:00 PM","10/06/2017 05:30:00 AM","48XX BLOCK OF S AUSTIN ST","S","S2","11102.3001",-122.271316528,47.534690857,"(47.534690857, -122.271316528)",10,2017,"Brighton"
230789,1295015,2017373300,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/07/2017 02:58:00 PM","10/07/2017 01:05:00 PM","10/07/2017 01:12:00 PM","8XX BLOCK OF TERRY AV","E","E3","8500.1001",-122.325271606,47.607803345,"(47.607803345, -122.325271606)",10,2017,"First Hill"
230790,1295016,2017909119,"2610",0,"FRAUD-IDENTITY THEFT","2600","FRAUD","10/07/2017 12:27:00 PM","03/20/2017 12:20:00 PM","03/20/2017 12:20:00 PM","65XX BLOCK OF 17 AV NE","U","U1","2600.3017",-122.309806824,47.676696777,"(47.676696777, -122.309806824)",10,2017,"Ravenna"
230791,1295017,2017909117,"2304",1,"THEFT-AUTOACC","2300","OTHER PROPERTY","10/07/2017 11:13:00 AM","10/03/2017 01:00:00 AM","10/03/2017 07:00:00 AM","88XX BLOCK OF 42 AV SW","W","W3","11600.3013",-122.386138916,47.523685455,"(47.523685455, -122.386138916)",10,2017,"Fauntleroy"
230792,1295018,2017909110,"2304",1,"THEFT-AUTOACC","2300","OTHER PROPERTY","10/06/2017 09:56:00 PM","10/05/2017 09:00:00 PM","10/06/2017 02:40:00 PM","11 AV NE / NE 42 ST","U","U2","5301.3006",-122.31665802,47.658351898,"(47.658351898, -122.31665802)",10,2017,"University District"
230793,1295019,2017909109,"2699",1,"FRAUD-OTHER","2600","FRAUD","10/06/2017 09:51:00 PM","09/22/2017 09:40:00 PM","10/06/2017 09:40:00 PM","24XX BLOCK OF 4 AV W","Q","Q2","5900.5030",-122.362258911,47.64081955,"(47.64081955, -122.362258911)",10,2017,"North Queen Anne"
230794,1295020,2017909115,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/07/2017 09:26:00 AM","10/06/2017 12:00:00 AM","10/07/2017 09:15:00 AM","3XX BLOCK OF N 76 ST","J","J3","2800.1012",-122.353858948,47.684020996,"(47.684020996, -122.353858948)",10,2017,"Greenwood"
230795,1295021,2017373359,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/07/2017 02:02:00 PM","10/07/2017 01:20:00 PM","10/07/2017 02:00:00 PM","132XX BLOCK OF AURORA AV N","N","N2","600.1016",-122.344993591,47.725036621,"(47.725036621, -122.344993591)",10,2017,"Haller Lake"
230797,1295023,2017909113,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/07/2017 08:30:00 AM","10/06/2017 08:05:00 AM","10/07/2017 08:05:00 AM","BOYLSTON AV E / E HARRISON ST","E","E1","7401.4000",-122.32308197,47.621997833,"(47.621997833, -122.32308197)",10,2017,"Capitol Hill"
230798,1295024,2017909112,"2305",0,"THEFT-CARPROWL","2300","CAR PROWL","10/07/2017 07:38:00 AM","10/05/2017 09:10:00 PM","10/06/2017 07:10:00 AM","75XX BLOCK OF 1 AV NW","J","J2","2900.2006",-122.357978821,47.683647156,"(47.683647156, -122.357978821)",10,2017,"Greenwood"
230799,1295025,2017909120,"2903",0,"PROPERTY DAMAGE-NON RESIDENTIA","2900","PROPERTY DAMAGE","10/07/2017 12:33:00 PM","10/06/2017 09:00:00 PM","10/07/2017 09:00:00 AM","12XX BLOCK OF S SULLIVAN ST","F","F3","11200.3003",-122.316139221,47.527305603,"(47.527305603, -122.316139221)",10,2017,"South Park"
230800,1295026,2017909106,"2610",0,"FRAUD-IDENTITY THEFT","2600","FRAUD","10/06/2017 07:09:00 PM","10/05/2017 02:05:00 PM","10/05/2017 07:05:00 PM","40XX BLOCK OF 39 AV S","R","R3","10100.5040",-122.283943176,47.567050934,"(47.567050934, -122.283943176)",10,2017,"Genesee"
230801,1295039,2017371508,"2203",0,"BURGLARY-FORCE-NONRES","2200","BURGLARY","10/06/2017 09:36:00 AM","10/06/2017 02:00:00 AM","10/06/2017 03:00:00 AM","67XX BLOCK OF RAINIER AV S","S","S2","11101.1004",-122.272186279,47.541584015,"(47.541584015, -122.272186279)",10,2017,"Brighton"
230802,1295040,2017371384,"2399",3,"THEFT-OTH","2300","OTHER PROPERTY","10/06/2017 07:29:00 AM","10/06/2017 07:29:00 AM","","NE 103 ST / 1 AV NE","L","L2","1200.4013",-122.328529358,47.703178406,"(47.703178406, -122.328529358)",10,2017,"Northgate"
230803,1295041,2017372313,"2404",1,"VEH-THEFT-AUTO","2400","VEHICLE THEFT","10/06/2017 06:38:00 PM","10/06/2017 06:38:00 PM","","14 AV S / S CONCORD ST","F","F3","11200.3020",-122.314956665,47.523891449,"(47.523891449, -122.314956665)",10,2017,"South Park"
230804,1295042,2017371172,"X",21,"DISTURBANCE-OTH","X","DISTURBANCE","10/06/2017 12:43:00 AM","10/06/2017 12:43:00 AM","","103XX BLOCK OF AURORA AV N","N","N3","1300.2008",-122.344673157,47.703422546,"(47.703422546, -122.344673157)",10,2017,"Greenwood"
