"City.Feature","Common.Name","Address","Website","Longitude","Latitude","Location","Neighborhood"
"Parks","Froula Playground","7200 12th Ave NE","http://www.seattle.gov/parks/park_detail.asp?ID=287",-122.313978443867,47.6805383223391,"(47.6805383223391, -122.313978443867)","Roosevelt"
"Parks","Bitter Lake Playfield","13035 Linden Ave N","http://www.seattle.gov/parks/park_detail.asp?ID=288",-122.349314334665,47.724209093647,"(47.724209093647, -122.349314334665)","Bitter Lake"
"Parks","Loyal Heights Playfield","2101 NW 77th St","http://www.seattle.gov/parks/park_detail.asp?ID=289",-122.38324017016,47.6841059362952,"(47.6841059362952, -122.38324017016)","Loyal Heights"
"Parks","Bayview Playground","2614 24th Ave W","http://www.seattle.gov/parks/park_detail.asp?ID=303",-122.38678612823,47.6438017035719,"(47.6438017035719, -122.38678612823)","Magnolia"
"Parks","East Magnolia Playfield","","http://www.seattle.gov/parks/park_detail.asp?ID=318",-122.391059670129,47.6405844763879,"(47.6405844763879, -122.391059670129)","Magnolia"
"Parks","Magnolia Playfield","2518 34th Ave W","http://www.seattle.gov/parks/park_detail.asp?ID=319",-122.399472233563,47.6437458208129,"(47.6437458208129, -122.399472233563)","Magnolia"
"Parks","East Queen Anne Playground","1912 Warren Ave N","http://www.seattle.gov/parks/park_detail.asp?ID=329",-122.353785822709,47.6361389994322,"(47.6361389994322, -122.353785822709)","East Queen Anne"
"Parks","West Queen Anne Playfield","150 W Blaine St","http://www.seattle.gov/parks/park_detail.asp?ID=330",-122.359503883522,47.6355140819519,"(47.6355140819519, -122.359503883522)","West Queen Anne"
"Parks","Laurelhurst Playfield","4544 NE 41st St","http://www.seattle.gov/parks/park_detail.asp?ID=340",-122.278019181289,47.6598895174452,"(47.6598895174452, -122.278019181289)","Laurelhurst"
"Parks","Cascade Playground","333 Pontius Ave N","http://www.seattle.gov/parks/park_detail.asp?ID=350",-122.332354809849,47.6214052249468,"(47.6214052249468, -122.332354809849)","South Lake Union"
"Parks","Meadowbrook Playfield","10533 35th Ave NE","http://www.seattle.gov/parks/park_detail.asp?ID=352",-122.293492857914,47.7057711129745,"(47.7057711129745, -122.293492857914)","Meadowbrook"
"Parks","Garfield Playfield","23rd Ave and E Cherry St","http://www.seattle.gov/parks/park_detail.asp?ID=353",-122.301411867027,47.6070978006384,"(47.6070978006384, -122.301411867027)","Garfield"
"Parks","Madrona Playground","3211 E Spring St","http://www.seattle.gov/parks/park_detail.asp?ID=371",-122.289885186905,47.6110216491653,"(47.6110216491653, -122.289885186905)","Madrona"
"Parks","Miller Playfield","400 19th Ave E","http://www.seattle.gov/parks/park_detail.asp?ID=373",-122.306261412155,47.6214333231101,"(47.6214333231101, -122.306261412155)","Capitol Hill"
"Parks","Montlake Playfield","1618 E Calhoun St","http://www.seattle.gov/parks/park_detail.asp?ID=376",-122.310081020631,47.6424066868121,"(47.6424066868121, -122.310081020631)","Montlake"
"Parks","Peppi'S Playground","3233 E Spruce St","http://www.seattle.gov/parks/park_detail.asp?ID=378",-122.29060161753,47.6027234663951,"(47.6027234663951, -122.29060161753)","Leschi"
"Parks","Rogers Playground","Eastlake Ave E and E Roanoke St","http://www.seattle.gov/parks/park_detail.asp?ID=380",-122.325256868431,47.6426009492446,"(47.6426009492446, -122.325256868431)","Eastlake"
"Parks","Pinehurst Playground","12029 14th Ave. NE","http://www.seattle.gov/parks/park_detail.asp?ID=382",-122.314628211158,47.7164362240396,"(47.7164362240396, -122.314628211158)","Pinehurst"
"Parks","Sacajawea Playground","1726 NE 94th St","http://www.seattle.gov/parks/park_detail.asp?ID=394",-122.308131595437,47.6971318737822,"(47.6971318737822, -122.308131595437)","Maple Leaf"
"Parks","Beacon Hill Playground","1902 13th Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=400",-122.315324628371,47.5862263145601,"(47.5862263145601, -122.315324628371)","North Beacon Hill"
"Parks","Brighton Playfield","6000 39th Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=402",-122.282099579571,47.548387353425,"(47.548387353425, -122.282099579571)","Hillman City"
"Parks","Othello Playground","4351 S Othello St","http://www.seattle.gov/parks/park_detail.asp?ID=403",-122.278104890608,47.5362144800422,"(47.5362144800422, -122.278104890608)","Brighton"
